rank	trigram	count	percent
354	түш	29523	0.070014
355	дон	29479	0.069909
356	ыга	29465	0.069876
357	етк	29460	0.069864
358	ези	29388	0.069693
359	жаз	29261	0.069392
360	чул	29219	0.069293
361	рас	29024	0.068830
362	ния	28975	0.068714
363	вду	28958	0.068674
364	сия	28931	0.068610
365	түр	28910	0.068560
366	ант	28905	0.068548
367	дыр	28903	0.068543
368	ууч	28847	0.068410
369	лиг	28688	0.068033
370	мар	28647	0.067936
371	ейт	28640	0.067920
372	коо	28637	0.067912
373	уун	28577	0.067770
374	каб	28541	0.067685
375	лат	28474	0.067526
376	эле	28465	0.067504
377	шуу	28451	0.067471
378	дал	28418	0.067393
379	шай	28387	0.067320
380	лма	28161	0.066784
381	ина	28119	0.066684
382	пут	28101	0.066641
383	кту	28089	0.066613
384	ыкк	28059	0.066542
385	еге	28050	0.066520
386	үгү	28026	0.066463
387	ров	27995	0.066390
388	мес	27916	0.066203
389	өзү	27882	0.066122
390	жал	27878	0.066112
391	рдү	27877	0.066110
392	еко	27865	0.066082
393	кон	27684	0.065652
394	там	27632	0.065529
395	ышы	27591	0.065432
396	йда	27565	0.065370
397	вди	27530	0.065287
398	чыл	27440	0.065074
399	ута	27433	0.065057
400	обл	27198	0.064500
401	рай	27171	0.064436
402	шту	27148	0.064381
403	орт	27106	0.064282
404	тек	26955	0.063924
405	биз	26921	0.063843
406	йло	26886	0.063760
407	мам	26830	0.063627
408	үшү	26775	0.063497
409	лус	26691	0.063297
410	блу	26661	0.063226
411	рез	26635	0.063165
412	гар	26576	0.063025
413	тып	26486	0.062811
414	уба	26427	0.062671
415	аци	26216	0.062171
416	ктү	26204	0.062143
417	гун	26189	0.062107
418	епу	26037	0.061747
419	сыз	25999	0.061656
420	рго	25985	0.061623
421	рүн	25963	0.061571
422	түн	25883	0.061381
423	очу	25836	0.061270
424	сти	25832	0.061260
425	шти	25787	0.061154
426	изд	25750	0.061066
427	ылу	25517	0.060513
428	ууд	25499	0.060471
429	евд	25466	0.060392
430	лба	25391	0.060215
431	син	25285	0.059963
432	анг	25275	0.059939
433	мек	25214	0.059795
434	ныш	25191	0.059740
435	тра	25129	0.059593
436	лай	25066	0.059444
437	про	25015	0.059323
438	ооч	24871	0.058981
439	кул	24843	0.058915
440	оюн	24750	0.058694
441	нен	24733	0.058654
442	ток	24722	0.058628
443	бөл	24677	0.058521
444	чык	24608	0.058358
445	тук	24587	0.058308
446	зид	24553	0.058227
447	лде	24530	0.058173
448	ерү	24503	0.058109
449	өгү	24405	0.057876
450	рты	24379	0.057815
451	уку	24367	0.057786
452	дол	24329	0.057696
453	өрд	24298	0.057622
454	рти	24176	0.057333
455	зам	24007	0.056932
456	пта	23936	0.056764
457	ялы	23935	0.056762
458	тен	23886	0.056645
459	аме	23800	0.056441
460	доо	23787	0.056411
461	лук	23743	0.056306
462	лиц	23728	0.056271
463	лбо	23579	0.055917
464	ату	23523	0.055785
465	стт	23513	0.055761
466	тыр	23508	0.055749
467	ндү	23486	0.055697
468	олб	23469	0.055657
469	эме	23413	0.055524
470	рги	23401	0.055495
471	рли	23378	0.055441
472	бат	23349	0.055372
473	рде	23319	0.055301
474	ябр	23249	0.055135
475	сан	23214	0.055052
476	тай	23195	0.055007
477	наа	23111	0.054808
478	өсү	23034	0.054625
479	ызд	22930	0.054378
480	лүү	22929	0.054376
481	кци	22926	0.054369
482	раг	22879	0.054257
483	нди	22813	0.054101
484	бий	22796	0.054061
485	дыг	22780	0.054023
486	имд	22779	0.054020
487	жок	22683	0.053793
488	пте	22602	0.053600
489	пан	22559	0.053498
490	епт	22523	0.053413
491	ийл	22498	0.053354
492	ыйы	22471	0.053290
493	риш	22412	0.053150
494	кек	22341	0.052981
495	уст	22305	0.052896
496	шин	22211	0.052673
497	раб	22107	0.052427
498	оро	22101	0.052412
499	пай	22041	0.052270
500	үзү	22001	0.052175
501	жай	21978	0.052121
502	илг	21977	0.052118
503	рөт	21970	0.052102
504	йли	21932	0.052012
505	кст	21930	0.052007
506	ымы	21871	0.051867
507	огу	21842	0.051798
508	йза	21675	0.051402
509	тел	21655	0.051355
510	түз	21622	0.051276
511	ирд	21587	0.051193
512	теп	21557	0.051122
513	ртт	21551	0.051108
514	баа	21517	0.051027
515	үрг	21367	0.050672
516	айм	21357	0.050648
517	луш	21174	0.050214
518	омп	21131	0.050112
519	жөн	21096	0.050029
520	сак	21094	0.050024
521	алб	21055	0.049932
522	ктө	21041	0.049899
523	дөр	20971	0.049733
524	осу	20964	0.049716
525	сур	20958	0.049702
526	тем	20928	0.049631
527	тым	20919	0.049609
528	кин	20838	0.049417
529	нер	20783	0.049287
530	ркы	20746	0.049199
531	йыл	20716	0.049128
532	гер	20683	0.049050
533	тов	20602	0.048857
534	бей	20577	0.048798
535	май	20513	0.048646
536	ете	20497	0.048608
537	аст	20436	0.048464
538	үгө	20432	0.048454
539	иси	20394	0.048364
540	лор	20325	0.048201
541	рам	20241	0.048001
542	аро	20180	0.047857
543	рсө	20074	0.047605
544	арк	20057	0.047565
545	мду	20013	0.047461
546	ушт	19948	0.047307
547	ечи	19942	0.047292
548	өрс	19933	0.047271
549	йма	19900	0.047193
550	таб	19880	0.047145
